City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Veshenskaya,0,RU,1551933988,90,49.63,41.73,23.41,8.41
Mahebourg,40,MU,1551933843,78,-20.41,57.7,82.99,3.36
Bambous Virieux,40,MU,1551933843,78,-20.34,57.76,82.99,3.36
Kapaa,1,US,1551933802,60,22.08,-159.32,75.2,21.92
Belaya Gora,12,RU,1551933993,63,68.54,146.19,-14.22,3.15
Cape Town,75,ZA,1551933663,77,-33.93,18.42,66.99,6.93
Tasiilaq,88,GL,1551933898,100,65.61,-37.64,17.69,17.47
Hambantota,75,LK,1551931800,89,6.12,81.12,84.2,9.17
Bima,92,ID,1551933799,100,-8.45,118.73,73.18,3.38
The Valley,75,AI,1551933971,73,18.22,-63.06,77.0,8.05
Rawson,40,AR,1551929280,63,-43.3,-65.11,66.2,20.8
Hilo,90,US,1551933912,88,19.71,-155.08,66.2,3.36
Port Alfred,92,ZA,1551933790,83,-33.59,26.89,70.0,3.0
Atuona,92,PF,1551933991,98,-9.8,-139.03,83.12,17.47
Filingue,0,NE,1551934004,59,14.35,3.32,66.61,3.04
Lazaro Cardenas,75,MX,1551933841,45,28.39,-105.62,66.0,5.17
Pochutla,5,MX,1551933018,69,15.74,-96.47,80.6,6.93
Samsun,75,TR,1551930600,93,41.29,36.33,43.0,3.36
Byron Bay,75,AU,1551933876,62,-28.65,153.62,84.2,20.8
Rikitea,68,PF,1551934010,100,-23.12,-134.97,79.93,17.02
Pangnirtung,64,CA,1551934011,74,66.15,-65.72,-7.56,6.17
Castelo do Piaui,44,BR,1551934012,98,-5.32,-41.55,69.04,2.82
Arraial do Cabo,48,BR,1551934013,89,-22.97,-42.02,80.24,11.77
Syracuse,90,US,1551933817,65,43.05,-76.15,12.0,6.93
Chokurdakh,0,RU,1551934015,53,70.62,147.9,-10.39,4.94
Kaitangata,92,NZ,1551933871,86,-46.28,169.85,55.0,8.01
Kavaratti,0,IN,1551934018,100,10.57,72.64,82.22,12.1
Koumac,88,NC,1551934019,84,-20.56,164.28,80.96,4.61
Ngaoundere,0,CM,1551934020,54,7.32,13.58,60.22,3.6
Yulara,0,AU,1551931200,13,-25.24,130.99,95.0,10.29
Bluff,44,AU,1551934022,32,-23.58,149.07,95.41,12.21
Cody,90,US,1551933925,84,44.53,-109.06,16.0,5.82
Hobart,0,AU,1551933735,32,-42.88,147.33,68.0,17.22
Puerto Ayora,0,EC,1551933880,100,-0.74,-90.35,79.34,8.97
Mitry-Mory,75,FR,1551934026,81,48.98,2.62,46.99,19.46
Ano Mera,0,GR,1551933909,93,37.45,25.4,57.2,3.36
Upernavik,8,GL,1551934029,100,72.79,-56.15,3.74,20.83
Vostok,24,RU,1551933918,48,46.45,135.83,28.72,3.38
Gondal,0,IN,1551933549,56,21.96,70.8,78.01,6.17
Aklavik,75,CA,1551931200,60,68.22,-135.01,10.4,6.93
Yumen,8,CN,1551934034,46,40.29,97.04,46.99,14.56
Butaritari,80,KI,1551933873,100,3.07,172.79,80.87,13.44
Yerbogachen,0,RU,1551933917,59,61.28,108.01,20.17,5.95
Bethel,90,US,1551930960,86,60.79,-161.76,30.2,9.17
Bubaque,0,GW,1551934039,99,11.28,-15.83,75.92,4.27
Macklin,36,CA,1551934040,80,52.34,-109.94,-0.31,11.65
Albany,20,US,1551933850,40,42.65,-73.75,14.0,8.05
Adrar,0,DZ,1551931200,19,27.87,-0.29,55.4,4.7
New Norfolk,0,AU,1551933975,32,-42.78,147.06,68.0,17.22
Deputatskiy,48,RU,1551934045,72,69.3,139.9,-7.74,3.49
Finschhafen,48,PG,1551934046,81,-6.6,147.85,79.93,2.93
Makakilo City,75,US,1551934008,93,21.35,-158.09,73.4,3.36
Zirandaro,0,MX,1551934048,73,18.45,-100.98,69.26,1.25
Araceli,0,PH,1551934049,99,10.55,119.99,80.69,13.78
Labytnangi,88,RU,1551934051,82,66.66,66.39,12.43,8.63
Kahului,75,US,1551933987,77,20.89,-156.47,73.0,16.11
Salalah,0,OM,1551930600,60,17.01,54.1,75.2,3.36
Padang,40,ID,1551931200,66,-0.92,100.36,89.6,5.82
Marsh Harbour,92,BS,1551933888,100,26.54,-77.06,68.59,15.79
Mistelbach,0,AT,1551934048,70,48.57,16.57,45.0,10.29
Killarney,36,AU,1551933946,51,-28.34,152.3,90.0,9.64
Qaanaaq,68,GL,1551934062,89,77.48,-69.36,-1.71,4.5
Grand Gaube,40,MU,1551933843,78,-20.01,57.66,82.99,3.36
Kiama,0,AU,1551934026,32,-34.67,150.86,72.0,9.17
Nizhniy Odes,64,RU,1551934065,67,63.64,54.86,13.51,7.74
Hirara,75,JP,1551931200,77,24.8,125.28,62.6,14.99
Bilma,0,NE,1551934067,30,18.69,12.92,50.81,9.86
Harindanga,40,IN,1551933000,53,22.04,88.32,75.2,13.87
Lasa,40,CY,1551931200,82,34.92,32.53,59.0,12.75
Jamestown,0,AU,1551933857,42,-33.21,138.6,71.11,8.86
Pampa,1,US,1551933118,42,35.54,-100.96,53.6,19.46
Arica,0,CL,1551931200,64,-18.48,-70.32,71.6,1.7
Ndjole,92,GA,1551934074,95,-0.18,10.76,74.84,2.59
Nikolskoye,0,RU,1551933670,73,59.7,30.79,21.99,4.47
Baykit,20,RU,1551934077,74,61.68,96.39,14.32,5.84
Yushu,0,CN,1551934078,46,44.84,126.53,44.06,7.52
Tuatapere,92,NZ,1551933605,93,-46.13,167.69,53.01,5.01
Sidi Ali,36,DZ,1551934080,80,36.1,0.42,53.2,6.73
Shingu,75,JP,1551931200,54,33.72,135.99,57.2,18.34
San Jeronimo,0,PE,1551934082,95,-13.65,-73.37,37.04,1.81
Clyde River,90,CA,1551931500,83,70.47,-68.59,-5.81,10.29
Georgetown,20,GY,1551931200,94,6.8,-58.16,75.2,4.7
Springdale,1,US,1551933786,40,36.19,-94.13,37.4,5.82
Vodnyy,64,RU,1551934087,71,63.51,53.41,12.34,7.18
Saint-Augustin,92,FR,1551933909,87,44.83,-0.61,50.0,14.99
Saldanha,36,PT,1551934090,94,41.42,-6.55,35.38,5.84
Fairbanks,90,US,1551933846,92,64.84,-147.72,24.01,3.15
Eureka,90,US,1551934035,100,40.8,-124.16,45.0,8.05
Mar del Plata,92,AR,1551933846,95,-46.43,-67.52,47.84,12.66
Vila Velha,75,BR,1551933763,83,-3.71,-38.6,79.0,4.7
Dandong,0,CN,1551934096,43,40.12,124.37,47.8,5.61
Avarua,92,CK,1551933000,78,-21.21,-159.78,80.6,17.22
Cayenne,75,GF,1551933000,78,4.94,-52.33,78.8,8.05
Dolores,24,AR,1551934099,73,-36.31,-57.68,75.25,10.31
Ihosy,0,MG,1551934101,70,-22.4,46.13,73.18,4.83
Birobidzhan,0,RU,1551934102,42,48.79,132.93,36.46,4.05
Vieux-Habitants,20,GP,1551933000,83,16.06,-61.77,73.4,8.05
Luban,92,CN,1551934104,77,34.19,105.09,35.02,8.41
Bhinmal,0,IN,1551934105,39,25.01,72.27,82.72,3.94
Sulangan,0,PH,1551934107,98,11.14,123.72,81.46,10.2
Illapel,0,CL,1551934108,98,-31.63,-71.17,51.4,3.15
Pevek,56,RU,1551933877,81,69.7,170.27,1.09,2.37
Mozarlandia,92,BR,1551934110,92,-14.74,-50.57,73.22,2.71
Moose Factory,20,CA,1551931200,83,51.26,-80.61,-11.21,2.24
Lebu,0,ET,1551934113,72,8.96,38.73,59.41,3.71
Barrow,44,AR,1551933870,77,-38.31,-60.23,74.8,13.33
Saint George,20,GR,1551933808,86,39.45,22.34,52.0,1.48
Magadan,56,RU,1551934117,100,59.56,150.8,17.11,6.17
Bathsheba,20,BB,1551931200,78,13.22,-59.52,77.0,17.22
Leh,44,IN,1551934119,85,34.16,77.58,0.77,1.7
Cidreira,8,BR,1551934120,92,-30.17,-50.22,73.76,6.62
Warri,0,NG,1551934098,95,5.52,5.75,75.25,5.73
Port Augusta,0,AU,1551933651,19,-32.49,137.76,78.8,11.41
Carnarvon,24,ZA,1551933893,29,-30.97,22.13,69.71,8.41
Geraldton,75,CA,1551931200,77,49.72,-86.95,-0.41,8.05
Jacareacanga,24,BR,1551933931,93,-6.22,-57.76,74.98,2.71
Smithers,90,CA,1551931200,49,54.78,-127.17,24.8,3.36
Vila Franca do Campo,75,PT,1551934121,100,37.72,-25.43,59.0,5.82
Ancud,75,CL,1551931200,93,-41.87,-73.83,51.8,5.82
Ponta do Sol,32,BR,1551933861,95,-20.63,-46.0,63.46,2.82
Yellowknife,5,CA,1551933771,77,62.45,-114.38,8.01,3.36
Bosaso,0,SO,1551931200,88,11.28,49.18,77.0,4.7
Hasaki,75,JP,1551933275,87,35.73,140.83,52.0,17.22
Codrington,90,AU,1551933876,69,-28.95,153.24,80.6,18.34
Onokhino,0,RU,1551931200,80,56.92,65.54,33.8,13.42
Ukiah,90,US,1551933986,87,39.15,-123.21,51.01,3.36
Inhambane,40,MZ,1551931200,83,-23.87,35.38,77.0,13.22
Torbay,90,CA,1551934107,85,47.66,-52.73,21.99,16.11
Gerash,0,IR,1551931200,62,27.67,54.14,51.8,6.93
Valle de Juarez,0,MX,1551934142,76,19.93,-102.94,52.61,1.92
Saint-Philippe,90,CA,1551934001,50,45.36,-73.48,8.6,3.6
Kirakira,8,SB,1551933910,99,-10.46,161.92,84.29,11.88
Kaeo,8,NZ,1551933485,75,-35.1,173.78,75.0,11.01
Kuching,75,MY,1551933000,84,1.56,110.34,89.6,4.7
Ballina,92,IE,1551934092,89,54.11,-9.15,45.0,13.0
Saint-Francois,90,FR,1551933914,81,46.42,3.91,46.4,4.7
Puerto Rico,32,PY,1551934151,87,-26.82,-55.03,75.79,3.49
Ribeira Grande,92,PT,1551933926,95,38.52,-28.7,61.93,17.58
Naryan-Mar,8,RU,1551934153,72,67.67,53.09,-3.01,12.55
Hermon,56,GB,1551933913,81,51.96,-4.61,48.99,24.16
Gaoua,0,BF,1551934155,36,10.33,-3.18,65.62,5.61
Lae,40,PG,1551931200,62,-6.72,146.98,87.8,17.22
Chirongui,75,YT,1551933000,83,-12.93,45.15,84.2,3.36
Kaoma,88,ZM,1551934159,85,-14.8,24.8,69.49,4.05
Port Elizabeth,1,US,1551933852,48,39.31,-74.98,26.01,3.36
Yeppoon,32,AU,1551933000,49,-23.13,150.74,89.6,13.87
Kruisfontein,68,ZA,1551933869,82,-34.0,24.73,67.46,16.46
Okolona,1,US,1551933904,80,34.0,-93.34,37.0,5.17
Laguna,0,MX,1551934165,72,27.52,-110.01,60.71,2.26
Gisborne,8,NZ,1551933611,48,-38.66,178.02,81.0,7.0
Hede,90,SE,1551933916,100,60.45,15.49,32.0,6.93
Walvis Bay,32,NA,1551931383,88,-22.95,14.51,64.0,3.36
Portland,90,US,1551934019,93,45.52,-122.67,36.0,4.7
Kavieng,44,PG,1551933935,100,-2.57,150.8,81.19,0.36
Northam,92,GB,1551934031,87,51.04,-4.21,46.0,19.46
Alofi,0,NU,1551931200,66,-19.06,-169.92,84.2,13.87
Vanimo,8,PG,1551933908,100,-2.67,141.3,83.35,8.52
Kartuzy,0,PL,1551934152,86,54.33,18.2,43.0,10.29
Kyotera,44,UG,1551934177,100,-0.63,31.54,70.61,5.61
Amudat,0,UG,1551934179,68,1.95,34.95,70.61,3.38
Gayny,32,RU,1551934180,72,60.3,54.33,15.67,15.23
Isangel,75,VU,1551931200,70,-19.55,169.27,86.0,11.41
General Roca,0,AR,1551931200,43,-39.03,-67.58,69.8,6.93
Katsuura,75,JP,1551932683,76,33.93,134.5,50.0,23.04
Dzaoudzi,75,YT,1551933000,83,-12.79,45.27,84.2,3.36
Coquimbo,0,CL,1551931200,87,-29.95,-71.34,59.0,3.36
Honiara,64,SB,1551934186,96,-9.43,159.96,78.71,2.37
Fortuna,0,ES,1551934164,54,38.18,-1.13,54.0,5.82
Sitka,20,US,1551933070,65,37.17,-99.65,35.01,4.0
Ilulissat,36,GL,1551930600,53,69.22,-51.1,21.2,11.41
Praia,0,BR,1551931200,78,-20.25,-43.81,71.6,6.93
Batos,32,RO,1551933000,86,46.88,24.67,28.4,5.82
Verkhnyaya Inta,68,RU,1551934194,73,65.99,60.32,11.66,4.38
Aykino,12,RU,1551934080,75,62.22,49.99,11.08,13.78
Carutapera,88,BR,1551934196,100,-1.2,-46.02,72.64,7.18
Dikson,80,RU,1551934197,89,73.51,80.55,3.52,29.21
Cairns,40,AU,1551931200,62,-16.92,145.77,87.8,14.99
Dali,64,CN,1551934200,57,25.6,100.24,59.14,3.94
Camacupa,88,AO,1551934201,96,-12.02,17.48,62.38,3.15
Zaton,0,UA,1551934202,90,49.77,33.77,25.34,3.94
Hami,44,CN,1551934204,56,42.84,93.51,50.99,7.07
Yerkoy,0,TR,1551934205,67,39.64,34.47,35.83,9.42
San Cristobal,75,EC,1551933980,93,-0.39,-78.55,59.0,5.82
Cherskiy,20,RU,1551934208,69,68.75,161.3,-5.44,0.58
Kodiak,75,US,1551934173,71,39.95,-94.76,32.0,5.82
Ambunti,88,PG,1551934210,85,-4.22,142.82,80.83,2.82
Nanakuli,75,US,1551933928,93,21.39,-158.15,73.4,3.36
Bam,24,IR,1551934212,35,29.11,58.36,59.54,2.48
Leningradskiy,68,RU,1551934214,84,69.38,178.42,5.14,3.38
Madimba,75,CM,1551931200,94,4.42,9.93,78.8,3.36
Along,92,IN,1551934216,95,28.17,94.8,52.39,1.81
Barcelos,75,PT,1551934153,71,41.53,-8.62,51.8,8.05
Saint Anthony,90,US,1551934216,93,43.97,-111.68,37.0,8.05
Komsomolskiy,80,RU,1551934220,76,67.55,63.78,4.06,7.63
Sioux Lookout,5,CA,1551931200,83,50.1,-91.92,-0.41,3.36
Fenoarivo,40,MG,1551933000,82,-18.93,47.44,66.2,4.7
Nefteyugansk,90,RU,1551931200,100,61.09,72.61,33.8,15.66
Abu Dhabi,20,AE,1551931200,93,24.47,54.37,64.4,1.12
Forbes,0,AU,1551933626,23,-33.38,148.01,89.01,1.99
Maroua,0,CM,1551934228,29,10.6,14.33,70.3,9.19
Jega,64,NG,1551934229,80,12.22,4.38,72.19,4.94
Gdov,48,RU,1551934230,83,58.74,27.82,20.98,15.01
Provideniya,0,RU,1551931200,61,64.42,-173.23,15.8,22.37
Nagato,75,JP,1551934166,76,34.35,131.14,53.01,10.29
Sangar,80,RU,1551934234,67,63.92,127.47,7.16,5.61
Talnakh,56,RU,1551934235,84,69.49,88.39,6.62,24.18
Faya,40,SA,1551931200,87,18.39,42.45,50.0,3.36
Lewiston,90,US,1551934195,85,46.42,-117.02,39.0,5.82
Teya,90,MX,1551933985,64,21.05,-89.07,75.2,11.41
Synya,88,RU,1551934240,80,65.37,58.04,9.55,6.4
Lorengau,44,PG,1551934242,100,-2.02,147.27,82.81,1.7
East London,20,ZA,1551934243,100,-33.02,27.91,74.57,22.06
Kununurra,40,AU,1551933000,33,-15.77,128.74,100.4,8.05
Saint-Paul,92,FR,1551934215,93,45.22,1.9,45.0,12.75
Kieta,88,PG,1551934247,100,-6.22,155.63,77.5,3.94
Pisco,75,PE,1551931200,100,-13.71,-76.2,73.4,6.93
Kalush,0,UA,1551933000,92,49.03,24.36,24.8,2.24
Kouroussa,0,GN,1551934250,52,10.65,-9.88,65.08,5.84
Airai,92,TL,1551934251,96,-8.93,125.41,72.59,1.92
Iqaluit,40,CA,1551933768,68,63.75,-68.52,-18.01,28.86
Chegdomyn,20,RU,1551934254,54,51.13,133.04,25.52,3.83
Nanga Eboko,68,CM,1551934255,97,4.68,12.37,70.79,8.19
Haines Junction,0,CA,1551934256,51,60.75,-137.51,-12.51,1.7
Boshnyakovo,0,RU,1551934257,66,49.65,142.17,19.0,3.38
Kijang,0,KR,1551931200,46,35.24,129.21,53.6,13.87
Tocopilla,8,CL,1551934260,100,-22.09,-70.2,60.62,2.26
Bandarbeyla,0,SO,1551934261,100,9.49,50.81,77.99,12.33
Pangai,64,TO,1551934262,100,-19.8,-174.35,79.34,18.81
Port Lincoln,32,AU,1551934263,72,-34.72,135.86,71.65,8.19
Puerto Carreno,56,CO,1551934265,86,6.19,-67.49,72.41,2.59
Tobermory,76,CA,1551933128,86,45.25,-81.67,-0.01,1.36
Vangaindrano,76,MG,1551934267,82,-23.35,47.6,76.91,2.93
Neyshabur,0,IR,1551934268,100,36.21,58.79,41.68,3.38
La Ronge,5,CA,1551931200,77,55.1,-105.3,-2.21,4.7
Port-Gentil,92,GA,1551934270,100,-0.72,8.78,80.87,4.27
Quatre Cocos,40,MU,1551934144,78,-20.21,57.76,84.0,3.36
Canutama,12,BR,1551934273,92,-6.53,-64.38,76.33,2.59
Teahupoo,75,PF,1551933788,74,-17.83,-149.27,82.4,3.36
Souillac,92,FR,1551934228,81,45.6,-0.6,46.99,11.41
Madang,48,PG,1551934276,98,-5.21,145.81,78.76,2.59
Santa Cruz,90,US,1551934164,93,36.97,-122.03,55.4,11.41
Taitung,75,TW,1551933000,82,22.76,121.15,66.2,10.29
Mundo Nuevo,0,CL,1551931200,71,-32.72,-71.41,57.2,3.36
Cortes,64,PH,1551934283,81,9.28,126.19,79.52,4.38
San Patricio,100,PY,1551934284,88,-26.98,-56.83,76.46,3.94
Krikellos,20,GR,1551934234,93,38.95,21.18,51.8,5.82
Mayo,5,CA,1551931200,77,63.59,-135.9,-0.41,2.24
Huarmey,80,PE,1551934288,86,-10.07,-78.15,67.96,2.59
Tokamachi,92,JP,1551933817,89,37.13,138.76,45.0,1.01
Tabou,32,CI,1551934291,96,4.42,-7.36,83.57,11.21
Kushiro,20,JP,1551931200,62,43.11,144.15,32.0,12.75
Sao Sebastiao,0,BR,1551934293,95,-3.15,-58.36,76.91,3.71
Cache Creek,90,CA,1551933720,100,50.81,-121.33,30.2,3.36
Wuchi,36,NG,1551934295,62,13.33,5.43,68.54,3.71
Nkawkaw,36,GH,1551934297,98,6.55,-0.77,73.04,3.04
Rome,0,IT,1551934024,41,41.89,12.48,60.8,14.99
Gornopravdinsk,80,RU,1551934300,83,60.06,69.92,36.14,11.88
Malanville,88,NE,1551934301,92,11.86,3.39,70.57,3.6
Avera,1,US,1551934290,55,33.19,-82.53,39.99,3.36
Salinas,90,US,1551934130,81,36.67,-121.66,55.0,12.75
Narsaq,75,GL,1551930600,34,60.91,-46.05,35.6,14.99
Kaiserslautern,40,DE,1551934149,76,49.44,7.77,55.0,18.34
Saskylakh,44,RU,1551934307,81,71.97,114.09,-5.31,13.0
Iracoubo,80,GF,1551934308,79,5.48,-53.21,77.23,6.4
Kerrville,90,US,1551934220,71,30.05,-99.14,50.0,6.93
Forestville,40,CA,1551931200,55,48.74,-69.09,8.6,19.46
Obregon,1,US,1551934263,35,32.86,-114.79,71.6,9.17
Jinchang,44,CN,1551934313,87,38.52,102.19,35.24,9.64
Grindavik,20,IS,1551933556,73,63.84,-22.43,26.6,18.34
Chuy,0,UY,1551934315,92,-33.69,-53.46,73.94,12.44
Villeneuve-sur-Lot,20,FR,1551933981,81,44.41,0.7,48.2,12.75
Gat,0,SN,1551933000,77,14.69,-16.54,62.6,23.04
Inhuma,92,BR,1551934319,99,-6.67,-41.71,70.3,4.61
Ituiutaba,8,BR,1551934320,92,-18.97,-49.46,66.92,2.93
Svetlaya,0,RU,1551934268,93,46.54,138.33,28.76,7.52
Sept-Iles,75,CA,1551933907,49,50.2,-66.38,3.0,10.29
West Plains,1,US,1551934323,70,36.73,-91.85,33.8,4.7
Yacuiba,80,AR,1551934325,96,-22.01,-63.68,73.72,4.05
Hithadhoo,20,MV,1551934326,100,-0.6,73.08,83.12,5.28
Pontianak,40,ID,1551931200,74,-0.02,109.34,84.2,4.7
Kalmunai,12,LK,1551934328,78,7.42,81.82,87.49,4.61
Romodanovo,0,RU,1551934330,82,54.42,45.33,11.44,7.85
Bonneville,75,FR,1551934272,93,46.08,6.41,48.2,11.41
Oranjemund,80,ZA,1551934305,94,-28.55,16.43,63.82,6.17
Kerema,48,PG,1551934333,88,-7.96,145.78,80.56,2.82
Beloha,24,MG,1551934334,69,-25.17,45.06,80.83,13.67
Vaitape,48,PF,1551934335,99,-16.52,-151.75,83.98,12.21
Camocim,48,BR,1551934337,97,-2.9,-40.84,72.14,4.72
Thinadhoo,92,MV,1551934338,100,0.53,72.93,81.73,5.17
Kedrovyy,40,RU,1551931200,73,56.17,91.82,23.0,8.95
Mineiros,32,BR,1551934221,93,-17.57,-52.55,67.87,4.83
Bartica,20,GY,1551931200,94,6.41,-58.62,75.2,4.7
Podlesnoye,0,RU,1551934343,80,54.32,47.61,13.42,9.86
Chicama,90,PE,1551931200,88,-7.84,-79.15,73.4,4.7
Pachino,0,IT,1551933321,49,36.72,15.09,50.0,17.0
Biskamzha,0,RU,1551934347,67,53.45,89.53,23.99,2.93
Alta Gracia,0,AR,1551933968,94,-31.66,-64.43,75.99,6.93
Raudeberg,0,NO,1551934203,60,61.99,5.14,41.0,8.05
Ribas do Rio Pardo,20,BR,1551934350,83,-20.45,-53.76,73.0,6.62
Longyan,92,CN,1551933836,99,25.1,117.03,57.99,1.92
Churapcha,80,RU,1551934353,72,62.0,132.43,15.62,3.71
Boma,36,NG,1551934354,84,11.23,4.46,74.08,3.94
Kisangani,88,CD,1551934355,100,0.52,25.21,70.79,3.04
Yeniseysk,64,RU,1551934356,74,58.45,92.17,23.59,5.39
Calvinia,48,ZA,1551934358,89,-31.47,19.78,55.27,4.05
Lagoa,0,PT,1551934329,93,37.14,-8.45,51.01,6.93
Jiangyou,92,CN,1551934361,100,31.78,104.73,43.93,5.39
Ahipara,92,NZ,1551934362,79,-35.17,173.16,71.02,10.54
Taltal,20,CL,1551934363,100,-25.41,-70.49,53.87,0.81
Santiago,0,CL,1551934292,34,-33.44,-70.65,70.0,9.17
Artyom,0,RU,1551931200,20,43.36,132.19,41.0,17.9
Sosnovo-Ozerskoye,56,RU,1551934367,72,52.53,111.54,36.32,5.17
Flinders,0,AU,1551934326,32,-34.58,150.85,72.0,9.17
Touros,40,BR,1551931200,94,-5.2,-35.46,77.0,3.36
Srednekolymsk,20,RU,1551934371,62,67.46,153.71,0.41,2.48
Baculin,24,PH,1551934373,92,7.45,126.58,78.44,8.86
Ridgecrest,90,US,1551934188,71,35.62,-117.67,54.0,18.34
Houma,36,CN,1551934375,44,35.63,111.36,47.08,5.61
Beringovskiy,88,RU,1551934377,92,63.05,179.32,24.58,19.48
Burnie,76,AU,1551934288,60,-41.05,145.91,63.0,10.0
Zabol,40,IR,1551931200,62,31.03,61.49,51.8,9.17
Biltine,8,TD,1551934380,40,14.53,20.93,71.24,7.96
Mahajanga,40,MG,1551931200,94,-15.72,46.32,73.4,9.75
Tual,32,ID,1551934383,100,-5.67,132.75,83.71,3.38
Lianzhou,100,CN,1551934384,99,24.79,112.38,49.91,2.71
Harstad,68,NO,1551933995,92,68.8,16.53,24.01,6.93
Severomuysk,88,RU,1551934386,88,56.17,113.57,20.89,2.59
Kendari,88,ID,1551934387,73,-3.99,122.52,83.8,6.17
Chiguayante,90,CL,1551931200,100,-36.93,-73.02,59.0,6.93
Zhigansk,76,RU,1551934390,70,66.77,123.37,23.54,7.4
Rivadavia,0,AR,1551934280,63,-31.53,-68.59,65.53,3.49
Saint-Georges,24,CA,1551934017,83,46.12,-70.67,5.0,6.51
Laela,12,TZ,1551934393,85,-8.57,32.05,66.88,3.27
Aripuana,44,BR,1551934394,91,-9.17,-60.63,76.42,2.59
Kupang,75,ID,1551931200,74,-10.16,123.6,87.8,4.7
Gafanha da Encarnacao,40,PT,1551934262,93,40.62,-8.73,51.8,4.7
Primorsk,88,RU,1551934382,88,60.37,28.62,21.0,11.01
Dwarahat,0,IN,1551934399,62,29.78,79.43,55.31,2.37
Sinnamary,92,GF,1551934335,100,5.38,-52.96,78.13,13.22
Mao,40,DO,1551934206,83,19.55,-71.08,75.99,4.7
Manacapuru,0,BR,1551931200,83,-3.3,-60.62,78.8,4.7
Sola,75,NO,1551934399,81,58.89,5.65,44.6,18.34
Turukhansk,88,RU,1551934405,84,65.8,87.96,12.43,24.18
Sao Joao da Barra,76,BR,1551934228,100,-21.64,-41.05,78.85,5.17
Fort Saint James,76,CA,1551934408,71,54.43,-124.25,12.34,1.92
Yerofey Pavlovich,0,RU,1551934409,41,53.97,121.97,35.24,3.49
Ochsenfurt,75,DE,1551934360,57,49.67,10.07,48.2,10.29
Bonavista,0,CA,1551933994,74,48.65,-53.11,21.0,11.99
Ossora,88,RU,1551934413,90,59.24,163.07,24.94,15.9
Tunceli,75,TR,1551930600,80,39.11,39.55,41.0,4.7
Camacha,40,PT,1551931200,76,33.08,-16.33,57.2,10.29
Mikun,12,RU,1551934416,75,62.35,50.08,11.08,13.78
Mandalgovi,0,MN,1551934417,90,45.76,106.27,38.35,7.74
Desbiens,0,CA,1551934181,50,48.42,-71.95,-1.0,3.0
Auki,0,NG,1551934420,38,12.18,6.51,67.19,7.18
Solntsevo,0,RU,1551934421,65,53.34,40.13,5.99,3.15
Harper,90,US,1551934220,62,30.3,-99.24,48.99,6.93
